id,question,instrument,category,label,audio_path
0ac2ec9a-24bb-4fcf-a23b-de3f581341b1,Which attempt has clearer tone without unintended muting?,guitar,technique,A,data/processed/pairwise/audio/0ac2ec9a-24bb-4fcf-a23b-de3f581341b1.wav
ab6a7a83-81c5-4556-861c-9c847434e69f,Which attempt plays the notes as consistent eighth notes in 4/4?,guitar,rhythm_and_timing,B,data/processed/pairwise/audio/ab6a7a83-81c5-4556-861c-9c847434e69f.wav
9dba692f-dec9-433d-b390-94f5def4fb42,"Which attempt plays the chord progression F, G, E, A using simple triads throughout?",piano,harmony,A,data/processed/pairwise/audio/9dba692f-dec9-433d-b390-94f5def4fb42.wav
280f4627-6d86-4607-971f-560dd76acf03,"Which attempt plays the chord progression F, G, E, A using seventh chords throughout?",piano,harmony,B,data/processed/pairwise/audio/280f4627-6d86-4607-971f-560dd76acf03.wav
1f09ca3e-c4c4-4da8-a285-5c1e1afa10f6,"Which attempt correctly plays the F major scale over two octaves, ascending and descending?",piano,pitch,B,data/processed/pairwise/audio/1f09ca3e-c4c4-4da8-a285-5c1e1afa10f6.wav
fddba977-c5b2-4908-bac1-f3c3e9d146a6,Which attempt correctly plays the one-octave E major scale?,piano,pitch,A,data/processed/pairwise/audio/fddba977-c5b2-4908-bac1-f3c3e9d146a6.wav
495ef3cc-d0da-43ee-ac62-aff97ec26887,"Which attempt correctly plays the C major scale over two octaves, ascending and descending?",piano,pitch,B,data/processed/pairwise/audio/495ef3cc-d0da-43ee-ac62-aff97ec26887.wav
01d43746-bb7e-4b4f-a501-a8238ccca800,"Which attempt correctly plays a C major arpeggio over two octaves, ascending and descending?",piano,pitch,A,data/processed/pairwise/audio/01d43746-bb7e-4b4f-a501-a8238ccca800.wav
f76ee8e0-d36f-426d-b1a7-a0652d7515f1,Which attempt has a softer dynamic level?,piano,dynamics,A,data/processed/pairwise/audio/f76ee8e0-d36f-426d-b1a7-a0652d7515f1.wav
21b28128-26d9-42c4-b6f0-9fb92eaaa224,Which attempt has a louder dynamic level?,piano,dynamics,A,data/processed/pairwise/audio/21b28128-26d9-42c4-b6f0-9fb92eaaa224.wav
24cd85ba-1027-45c5-aaa3-05711c2f5080,"Which attempt correctly plays the chord progression G, Bm, Am, Cm?",piano,harmony,A,data/processed/pairwise/audio/24cd85ba-1027-45c5-aaa3-05711c2f5080.wav
cb5860d7-9227-4397-a95f-6a100330ec20,"Which attempt correctly plays the chord progression G, Bm, Am, C?",piano,harmony,B,data/processed/pairwise/audio/cb5860d7-9227-4397-a95f-6a100330ec20.wav
74abc5e9-5133-4db7-90df-3bdf531dee5a,Which attempt has a 12/8 time signature?,piano,rhythm_and_timing,A,data/processed/pairwise/audio/74abc5e9-5133-4db7-90df-3bdf531dee5a.wav
00e05bc4-3133-4182-884e-3518a05314f7,Which attempt has a 4/4 time signature?,piano,rhythm_and_timing,B,data/processed/pairwise/audio/00e05bc4-3133-4182-884e-3518a05314f7.wav
78dd2545-5dba-4427-b1ba-931d117dbbf7,Which attempt has the notes ringing out more clearly?,guitar,technique,A,data/processed/pairwise/audio/78dd2545-5dba-4427-b1ba-931d117dbbf7.wav
458e1734-d65d-4739-81e8-26c1ee28ab3c,Which attempt has a cleaner tone without buzzing?,guitar,technique,B,data/processed/pairwise/audio/458e1734-d65d-4739-81e8-26c1ee28ab3c.wav
a3be4981-9ce3-4b98-93a3-86eaebe732f8,Which attempt has the notes ringing out more clearly?,guitar,technique,B,data/processed/pairwise/audio/a3be4981-9ce3-4b98-93a3-86eaebe732f8.wav
7b4662a6-a5d6-40e0-9bef-75c27a8a7993,Which attempt has a cleaner tone without buzzing?,guitar,technique,A,data/processed/pairwise/audio/7b4662a6-a5d6-40e0-9bef-75c27a8a7993.wav
7f8eaae3-32c4-4c10-b2a6-7f03a587335c,Which attempt has the notes ringing out more clearly?,guitar,technique,A,data/processed/pairwise/audio/7f8eaae3-32c4-4c10-b2a6-7f03a587335c.wav
c8fc717c-65ba-45e4-a89a-84be1147fa10,Which attempt has a more steady tempo?,guitar,tempo,B,data/processed/pairwise/audio/c8fc717c-65ba-45e4-a89a-84be1147fa10.wav
